408800.000,4858900.000,83.526
408820.000,4858900.000,83.459
408760.000,4858920.000,83.607
408780.000,4858920.000,83.612
408800.000,4858920.000,83.582
408820.000,4858920.000,83.561
408840.000,4858920.000,83.468
408780.000,4858940.000,83.634
408800.000,4858940.000,83.615
408820.000,4858940.000,83.592
408840.000,4858940.000,83.537
408860.000,4858940.000,83.447
408800.000,4858960.000,83.523
408820.000,4858960.000,83.446
408840.000,4858960.000,83.513
408860.000,4858960.000,83.452
408880.000,4858960.000,83.389
408820.000,4858980.000,83.759
408840.000,4858980.000,83.504
408860.000,4858980.000,83.460
408880.000,4858980.000,83.422
408900.000,4858980.000,83.322
408840.000,4859000.000,83.502
408860.000,4859000.000,84.469
408880.000,4859000.000,84.094
408900.000,4859000.000,83.469
408920.000,4859000.000,83.167
408860.000,4859020.000,84.386
408880.000,4859020.000,83.925
408900.000,4859020.000,84.128
408920.000,4859020.000,83.383
408940.000,4859020.000,83.851
408880.000,4859040.000,83.137
408900.000,4859040.000,84.075
408920.000,4859040.000,83.757
408940.000,4859040.000,83.192
408960.000,4859040.000,83.089
408900.000,4859060.000,83.150
408920.000,4859060.000,83.163
408940.000,4859060.000,83.154
408960.000,4859060.000,83.102
408980.000,4859060.000,83.040
408920.000,4859080.000,83.165
408940.000,4859080.000,83.144
408960.000,4859080.000,83.100
408980.000,4859080.000,83.069
409000.000,4859080.000,83.065
408940.000,4859100.000,83.092
408960.000,4859100.000,83.107
408980.000,4859100.000,83.096
409000.000,4859100.000,83.065
409020.000,4859100.000,83.054
408960.000,4859120.000,83.103
408980.000,4859120.000,83.071
409000.000,4859120.000,83.072
409020.000,4859120.000,83.086
409040.000,4859120.000,83.053
409060.000,4859120.000,83.024
408980.000,4859140.000,83.051
409000.000,4859140.000,83.098
409020.000,4859140.000,83.085
409040.000,4859140.000,83.055
409060.000,4859140.000,83.051
409080.000,4859140.000,83.063
409020.000,4859160.000,83.069
409040.000,4859160.000,83.061
409060.000,4859160.000,83.070
409080.000,4859160.000,83.053
409100.000,4859160.000,83.038
409040.000,4859180.000,83.076
409060.000,4859180.000,83.072
409080.000,4859180.000,83.071
409100.000,4859180.000,83.060
409120.000,4859180.000,83.038
409060.000,4859200.000,83.068
409080.000,4859200.000,83.093
409100.000,4859200.000,83.085
409120.000,4859200.000,83.101
409140.000,4859200.000,83.076
409060.000,4859220.000,83.072
